name,country,region,population,revision_id,article_quality
Mfulupinga Nlando Victor,Angola,MIDDLE AFRICA,36700000.0,1243272129.0,Start
Clement Antonio,Antigua and Barbuda,CARIBBEAN,100000.0,1241563106.0,Stub
Randolph Beazer,Antigua and Barbuda,CARIBBEAN,100000.0,1247631912.0,Stub
Studiation Brown,Antigua and Barbuda,CARIBBEAN,100000.0,825090349.0,Stub
Alex Browne (politician),Antigua and Barbuda,CARIBBEAN,100000.0,1247631794.0,Stub
Colin O'Neil Browne,Antigua and Barbuda,CARIBBEAN,100000.0,1241563118.0,Stub
James Carlisle,Antigua and Barbuda,CARIBBEAN,100000.0,1242152285.0,C
Gail Christian,Antigua and Barbuda,CARIBBEAN,100000.0,1241563122.0,Start
Mackenzie Frank,Antigua and Barbuda,CARIBBEAN,100000.0,1247632329.0,Stub
Osbert Richard Frederick,Antigua and Barbuda,CARIBBEAN,100000.0,1241563130.0,Start
Caleb Gardiner,Antigua and Barbuda,CARIBBEAN,100000.0,1241563135.0,Stub
Shenella Mary Shadida Govia,Antigua and Barbuda,CARIBBEAN,100000.0,1241563138.0,Stub
William Haynes-Smith,Antigua and Barbuda,CARIBBEAN,100000.0,1242257328.0,C
Tim Hector,Antigua and Barbuda,CARIBBEAN,100000.0,1227026341.0,C
Cheryl Mary Clare Hurst,Antigua and Barbuda,CARIBBEAN,100000.0,1242813942.0,Stub
Wilfred Jacobs,Antigua and Barbuda,CARIBBEAN,100000.0,1246340247.0,Stub
Rick James (actor),Antigua and Barbuda,CARIBBEAN,100000.0,1213836084.0,C
Kiz Johnson,Antigua and Barbuda,CARIBBEAN,100000.0,1247632301.0,Stub
Fabian Jones,Antigua and Barbuda,CARIBBEAN,100000.0,1247632282.0,Stub
Johnathan Joseph (politician),Antigua and Barbuda,CARIBBEAN,100000.0,1241563151.0,Stub
Kelvin Simon,Antigua and Barbuda,CARIBBEAN,100000.0,1241592202.0,Start
Harold Lovell,Antigua and Barbuda,CARIBBEAN,100000.0,1241564680.0,Start
Edmond Mansoor,Antigua and Barbuda,CARIBBEAN,100000.0,1248648606.0,Start
David Massiah,Antigua and Barbuda,CARIBBEAN,100000.0,1247632248.0,Stub
Joanne Massiah,Antigua and Barbuda,CARIBBEAN,100000.0,1241592526.0,Stub
